sensor_point5_i_value,sensor_point6_i_value,sensor_point7_i_value,sensor_point8_i_value,sensor_point9_i_value,sensor_point10_i_value,clean_temp,clean_ec,clean_ph4,clean_ph5,clean_ph7,clean_ph8,clean_pressure11,clean_pressure12,clean_pressure21,clean_pressure22,clean_pressure23,clean_pressure31,clean_pressure33,clean_pressure41,clean_pressure42,clean_pressure51,clean_pressure52,clean_pressure61,clean_pressure62,clean_pressure71,clean_pressure72,clean_pressure81,clean_pressure82,clean_pressure91,clean_pressure92,clean_pressure101,clean_pressure102,oven_pa1,oven_pa2,oven_pb1,oven_pb2,oven_a1,oven_a2,oven_a3,oven_b1,oven_b2,oven_b3,painting_g1_act_a_air,painting_g1_act_f_air,painting_g1_act_t_air,painting_g1_act_hvv,painting_g1_act_hvc,painting_g2_act_a_air,painting_g2_act_f_air,painting_g2_act_t_air,painting_g2_act_hvv,painting_g2_act_hvc,painting_g3_act_a_air,painting_g3_act_f_air,painting_g3_act_t_air,painting_g3_act_hvv,painting_g3_act_hvc,painting_g4_act_a_air,painting_g4_act_f_air,painting_g4_act_t_air,painting_g4_act_hvv,painting_g4_act_hvc,painting_g5_act_a_air,painting_g5_act_f_air,painting_g5_act_t_air,painting_g5_act_hvv,painting_g5_act_hvc,painting_g6_act_a_air,painting_g6_act_f_air,painting_g6_act_t_air,painting_g6_act_hvv,painting_g6_act_hvc,painting_g7_act_a_air,painting_g7_act_f_air,painting_g7_act_t_air,painting_g7_act_hvv,painting_g7_act_hvc,painting_g8_act_a_air,painting_g8_act_f_air,painting_g8_act_t_air,painting_g8_act_hvv,painting_g8_act_hvc,painting_g9_act_a_air,painting_g9_act_f_air,painting_g9_act_t_air,painting_g9_act_hvv,painting_g9_act_hvc,painting_g10_act_a_air,painting_g10_act_f_air,painting_g10_act_t_air,painting_g10_act_hvv,painting_g10_act_hvc,painting_g11_act_a_air,painting_g11_act_f_air,painting_g11_act_t_air,painting_g11_act_hvv,painting_g11_act_hvc,painting_g12_act_a_air,painting_g12_act_f_air,painting_g12_act_t_air,painting_g12_act_hvv,painting_g12_act_hvc,env_rpi05_hum,env_rpi05_pm1,env_rpi05_pm10,env_rpi05_pm25,env_rpi05_temp,env_rpi07_hum,env_rpi07_pm1,env_rpi07_pm10,env_rpi07_pm25,env_rpi07_temp,env_rpi09_hum,env_rpi09_lux,env_rpi09_pm1,env_rpi09_pm10,env_rpi09_pm25,env_rpi09_temp,env_rpi14_hum,env_rpi14_lux,env_rpi14_pm1,env_rpi14_pm10,env_rpi14_pm25,env_rpi14_temp,env_rpi15_hum,env_rpi15_lux,env_rpi15_pm1,env_rpi15_pm10,env_rpi15_pm25,env_rpi15_temp,test
35.0,72.0,92.0,47.0,58.0,62.0,41.9,12.5,,,,7.0,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124.0,223.23,45.16,20.77,,,,,,,,,,,,,,,,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,,,,,,,,,,,,,,,,62.82,61.37,76.25,70.62,29.2,51.11,15.0,22.62,19.0,26.61,,,,,,,48.63,,26.87,48.62,38.0,34.57,43.95,0.5,30.37,53.0,43.37,34.91,
35.0,56.0,64.0,42.0,70.0,45.0,41.9,12.5,,,,7.0,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124.0,223.23,45.16,20.77,,,,,,,,,,,,,,,,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,,,,,,,,,,,,,,,,62.82,61.37,76.25,70.62,29.2,51.11,15.0,22.62,19.0,26.61,,,,,,,48.63,,26.87,48.62,38.0,34.57,43.95,0.5,30.37,53.0,43.37,34.91,
61.0,68.0,80.0,43.0,52.0,39.0,41.9,12.5,,,,7.0,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124.0,223.23,45.16,20.77,,,,,,,,,,,,,,,,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,,,,,,,,,,,,,,,,62.82,61.37,76.25,70.62,29.2,51.11,15.0,22.62,19.0,26.61,,,,,,,48.63,,26.87,48.62,38.0,34.57,43.95,0.5,30.37,53.0,43.37,34.91,
61.0,70.0,60.0,44.0,62.0,44.0,41.9,12.5,,,,7.0,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124.0,223.23,45.16,20.77,,,,,,,,,,,,,,,,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,,,,,,,,,,,,,,,,62.82,61.37,76.25,70.62,29.2,51.11,15.0,22.62,19.0,26.61,,,,,,,48.63,,26.87,48.62,38.0,34.57,43.95,0.5,30.37,53.0,43.37,34.91,
,,,,,,41.9,12.5,,,,7.0,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124.0,223.23,45.16,20.77,,,,,,,,,,,,,,,,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,,,,,,,,,,,,,,,,62.82,61.37,76.25,70.62,29.2,51.11,15.0,22.62,19.0,26.61,,,,,,,48.63,,26.87,48.62,38.0,34.57,43.95,0.5,30.37,53.0,43.37,34.91,True
62.0,66.0,82.0,33.0,70.0,72.0,41.1,10.67,,,,6.75,810.2,1266.53,885.96,630.76,642.8,257.19,713.82,1072.04,817.95,828.01,603.97,1031.47,647.24,686.83,1181.73,900.45,830.66,902.8,744.03,,455.2,175.98,203.67,202.22,190.36,185.8,216.9,217.21,190.88,215.65,207.37,,,,,,8.2,154.23,275.07,49.88,15.26,9.39,182.92,336.04,60.87,17.44,8.52,172.25,289.25,52.34,13.23,,,,,,,,,,,,,,,,6.96,137.86,254.93,48.91,9.21,8.88,165.05,306.85,58.3,15.11,7.37,147.2,258.63,44.56,15.7,,,,,,,,,,,61.93,53.28,66.57,55.71,30.53,56.32,7.0,10.28,7.85,28.35,,,,,,,46.79,,17.71,30.14,24.42,36.16,41.48,0.42,13.71,21.42,18.14,37.81,
63.0,72.0,82.0,35.0,74.0,74.0,41.1,10.67,,,,6.75,810.2,1266.53,885.96,630.76,642.8,257.19,713.82,1072.04,817.95,828.01,603.97,1031.47,647.24,686.83,1181.73,900.45,830.66,902.8,744.03,,455.2,175.98,203.67,202.22,190.36,185.8,216.9,217.21,190.88,215.65,207.37,,,,,,8.2,154.23,275.07,49.88,15.26,9.39,182.92,336.04,60.87,17.44,8.52,172.25,289.25,52.34,13.23,,,,,,,,,,,,,,,,6.96,137.86,254.93,48.91,9.21,8.88,165.05,306.85,58.3,15.11,7.37,147.2,258.63,44.56,15.7,,,,,,,,,,,61.93,53.28,66.57,55.71,30.53,56.32,7.0,10.28,7.85,28.35,,,,,,,46.79,,17.71,30.14,24.42,36.16,41.48,0.42,13.71,21.42,18.14,37.81,
,,,,,,41.1,10.67,,,,6.75,810.2,1266.53,885.96,630.76,642.8,257.19,713.82,1072.04,817.95,828.01,603.97,1031.47,647.24,686.83,1181.73,900.45,830.66,902.8,744.03,,455.2,175.98,203.67,202.22,190.36,185.8,216.9,217.21,190.88,215.65,207.37,,,,,,8.2,154.23,275.07,49.88,15.26,9.39,182.92,336.04,60.87,17.44,8.52,172.25,289.25,52.34,13.23,,,,,,,,,,,,,,,,6.96,137.86,254.93,48.91,9.21,8.88,165.05,306.85,58.3,15.11,7.37,147.2,258.63,44.56,15.7,,,,,,,,,,,61.93,53.28,66.57,55.71,30.53,56.32,7.0,10.28,7.85,28.35,,,,,,,46.79,,17.71,30.14,24.42,36.16,41.48,0.42,13.71,21.42,18.14,37.81,True
,,,,,,41.1,10.67,,,,6.75,809.84,1266.31,885.65,630.65,642.72,251.46,713.83,1071.86,818.08,827.57,603.88,1031.36,647.22,686.86,1181.81,900.6,830.55,902.67,743.93,,455.35,175.93,203.65,202.19,190.42,185.46,216.67,217.04,190.85,215.63,207.36,,,,,,8.14,149.29,272.02,49.2,15.21,9.61,179.31,336.23,60.9,17.42,8.4,177.99,287.21,51.2,13.95,,,,,,,,,,,,,,,,7.44,131.85,260.69,50.15,10.49,9.47,161.46,318.57,60.78,15.78,7.55,142.51,264.89,46.1,15.62,,,,,,,,,,,61.93,53.28,66.57,55.71,30.53,56.32,7.0,10.28,7.85,28.35,,,,,,,46.79,,17.71,30.14,24.42,36.16,41.48,0.42,13.71,21.42,18.14,37.81,True
58.0,84.0,97.0,34.0,70.0,67.0,41.1,10.67,,,,6.75,809.79,1266.37,885.76,630.71,642.9,249.48,713.72,1072.14,818.03,827.67,603.93,1031.47,647.19,686.93,1181.78,900.51,830.66,902.8,743.97,,455.45,175.88,203.71,202.17,190.45,185.16,216.49,216.86,190.8,215.6,207.36,,,,,,8.28,152.45,279.98,50.41,15.76,9.47,179.25,339.34,61.66,17.47,8.56,181.08,287.12,51.12,14.0,,,,,,,,,,,,,,,,7.83,129.77,264.98,51.66,11.15,9.51,157.33,320.31,61.21,16.11,7.84,139.22,267.76,47.68,15.47,,,,,,,,,,,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,,,,,,,46.84,,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18.0,37.79,
59.0,81.0,98.0,37.0,78.0,72.0,41.1,10.67,,,,6.75,809.79,1266.37,885.76,630.71,642.9,249.48,713.72,1072.14,818.03,827.67,603.93,1031.47,647.19,686.93,1181.78,900.51,830.66,902.8,743.97,,455.45,175.88,203.71,202.17,190.45,185.16,216.49,216.86,190.8,215.6,207.36,,,,,,8.28,152.45,279.98,50.41,15.76,9.47,179.25,339.34,61.66,17.47,8.56,181.08,287.12,51.12,14.0,,,,,,,,,,,,,,,,7.83,129.77,264.98,51.66,11.15,9.51,157.33,320.31,61.21,16.11,7.84,139.22,267.76,47.68,15.47,,,,,,,,,,,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,,,,,,,46.84,,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18.0,37.79,
67.0,76.0,80.0,48.0,72.0,74.0,41.1,10.67,,,,6.75,809.79,1266.36,885.7,630.65,642.92,247.57,713.58,1072.17,818.08,827.67,603.98,1031.46,647.27,687.02,1181.61,900.55,830.7,902.72,743.88,,455.4,175.88,203.69,202.14,190.49,185.21,216.54,216.77,190.79,215.55,207.36,,,,,,8.88,163.33,299.91,54.35,16.63,10.34,189.77,359.59,65.58,18.06,9.08,186.77,296.43,54.51,14.73,,,,,,,,,,,,,,,,8.07,133.84,276.21,53.53,12.03,9.88,161.88,333.07,64.07,17.22,8.13,143.24,278.12,49.4,16.34,,,,,,,,,,,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,,,,,,,46.84,,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18.0,37.79,
56.0,92.0,86.0,35.0,66.0,78.0,41.1,10.67,,,,6.75,809.69,1266.26,885.65,630.5,642.92,246.21,713.58,1072.07,818.13,827.67,603.98,1031.46,647.27,687.02,1181.76,900.5,830.55,902.67,743.73,,455.2,175.99,203.66,202.13,190.51,184.91,216.34,216.7,190.77,215.57,207.36,,,,,,8.86,163.07,299.74,54.64,16.14,10.3,189.69,359.36,65.68,17.96,9.15,188.37,299.04,54.97,14.94,,,,,,,,,,,,,,,,8.05,132.29,273.15,52.79,12.0,9.88,160.25,329.61,63.37,17.2,8.06,141.41,274.51,49.61,16.07,,,,,,,,,,,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,,,,,,,46.84,,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18.0,37.79,
68.0,66.0,68.0,48.0,82.0,76.0,41.1,10.67,,,,6.75,809.69,1266.26,885.65,630.5,642.92,246.21,713.58,1072.07,818.13,827.67,603.98,1031.46,647.27,687.02,1181.76,900.5,830.55,902.67,743.73,,455.2,175.99,203.66,202.13,190.51,184.91,216.34,216.7,190.77,215.57,207.36,,,,,,8.86,163.07,299.74,54.64,16.14,10.3,189.69,359.36,65.68,17.96,9.15,188.37,299.04,54.97,14.94,,,,,,,,,,,,,,,,8.05,132.29,273.15,52.79,12.0,9.88,160.25,329.61,63.37,17.2,8.06,141.41,274.51,49.61,16.07,,,,,,,,,,,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,,,,,,,46.84,,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18.0,37.79,
62.0,76.0,68.0,40.0,82.0,82.0,41.1,10.67,,,,6.75,809.39,1266.16,885.7,630.45,642.82,245.2,713.53,1072.37,818.03,827.67,603.98,1031.56,647.32,687.02,1181.66,900.35,830.5,902.67,743.68,,455.1,175.94,203.69,202.14,190.55,185.03,216.41,216.63,190.76,215.54,207.36,,,,,,8.9,163.19,300.09,55.33,16.33,10.32,189.5,359.19,65.6,18.09,9.09,186.74,296.32,55.02,15.0,,,,,,,,,,,,,,,,8.01,133.25,275.0,52.49,11.69,9.94,160.2,329.46,63.45,17.14,7.98,143.6,278.01,49.77,15.86,,,,,,,,,,,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,,,,,,,46.84,,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18.0,37.79,
60.0,88.0,96.0,34.0,73.0,80.0,41.6,11.14,,,,6.7,810.2,1266.2,886.25,630.55,643.08,236.95,713.45,1072.12,818.55,828.0,604.2,1031.95,647.8,687.0,1181.05,900.65,830.4,902.8,743.8,,455.35,175.84,203.64,202.03,190.72,185.26,216.4,216.23,190.73,215.49,207.33,,,,,,9.06,161.39,297.78,55.05,15.44,9.9,189.59,359.34,64.93,18.86,9.09,189.07,300.14,56.65,15.29,,,,,,,,,,,,,,,,8.2,137.28,283.08,54.8,11.83,9.79,164.83,339.04,65.01,17.01,8.32,149.84,289.59,50.89,16.11,,,,,,,,,,,62.41,53.28,66.85,55.71,30.45,57.15,6.85,10.0,7.85,28.31,,,,,,,47.61,,21.28,37.57,30.0,35.92,42.08,0.42,13.71,21.57,18.42,37.66,
58.0,74.0,114.0,40.0,88.0,78.0,41.6,11.14,,,,6.7,810.2,1266.2,886.25,630.55,643.08,236.95,713.45,1072.12,818.55,828.0,604.2,1031.95,647.8,687.0,1181.05,900.65,830.4,902.8,743.8,,455.35,175.84,203.64,202.03,190.72,185.26,216.4,216.23,190.73,215.49,207.33,,,,,,9.06,161.39,297.78,55.05,15.44,9.9,189.59,359.34,64.93,18.86,9.09,189.07,300.14,56.65,15.29,,,,,,,,,,,,,,,,8.2,137.28,283.08,54.8,11.83,9.79,164.83,339.04,65.01,17.01,8.32,149.84,289.59,50.89,16.11,,,,,,,,,,,62.41,53.28,66.85,55.71,30.45,57.15,6.85,10.0,7.85,28.31,,,,,,,47.61,,21.28,37.57,30.0,35.92,42.08,0.42,13.71,21.57,18.42,37.66,
